City,State,Last Name ,"First Name, Middle In.",Decisions,% Grants,% Denials
Los Angeles,CA,Peters, Rose C.,317,29,71
Los Angeles,CA,Giattina, Anthony T.,265,29.1,70.9
Los Angeles,CA,Latimore, Jan D.,385,29.4,70.6
Los Angeles,CA,Rooyani, Rodin,391,29.9,70.1
Los Angeles,CA,Bither, Christine A.,247,32.4,67.6
Los Angeles,CA,Travieso, Frank M.,385,35.6,64.4
Los Angeles,CA,Parchert, Brett M.,574,37.8,62.2
Los Angeles,CA,Stancill, Christine E.,735,40.8,59.2
Los Angeles,CA,Hong, J. Traci,109,43.1,56.9
Los Angeles,CA,Little, Monica M.,465,43.4,56.6
Los Angeles,CA,Dunkel-Bradley, Dorothy A.,339,43.7,56.3
Los Angeles,CA,Burke, David H.,150,44,56
Los Angeles,CA,Bank, Ira E.,451,44.3,55.7
Los Angeles,CA,Sitgraves, Darcy D.,495,44.6,55.4
Los Angeles,CA,Dorfman, Arlene E.,290,45.5,54.5
Los Angeles,CA,Bass, Lori R.,301,50.2,49.8
Los Angeles,CA,Costa, Philip J.,469,50.5,49.5
Los Angeles,CA,Coughlon, Robert E.,162,56.8,43.2
Los Angeles,CA,Vahid-Tehrani, Gita,457,60.4,39.6
Los Angeles,CA,O'Sullivan, Maureen S.,469,63.3,36.7
Los Angeles,CA,Bakke Varzandeh, Joyce A.,349,69.6,30.4
Los Angeles,CA,Neumeister, David,408,69.9,30.1
Los Angeles,CA,Sholomson, Stephen L.,124,78.2,21.8
Los Fresnos,TX,Hunsucker, Keith E.,572,22,78
Los Fresnos,TX,Powell, Robert L.,556,24.8,75.2
Los Fresnos,TX,Achtsam, Howard E.,243,25.5,74.5
Lumpkin,GA,Arrington, Saundra H.,214,3.7,96.3
Lumpkin,GA,Trimble, Dan,265,4.2,95.8
Memphis,TN,Kaufman, Matthew W.,168,15.5,84.5
Memphis,TN,Pazar, Charles E.,584,46.4,53.6
Memphis,TN,Holt, Rebecca L.,630,47.5,52.5
Miami,FL,Chapa, Teofilo,250,15.6,84.4
Miami,FL,Lopez-Enriquez, Maria M.,310,21.6,78.4
Miami,FL,Martinez-Esquivel, Lourdes,341,24.3,75.7
Miami,FL,Marks Lane, Denise A.,320,29.7,70.3
Miami,FL,Mart, Herbert Kevin,315,33.7,66.3
Miami,FL,Sanders, Charles J.,130,34.6,65.4
Miami,FL,Torreh-Bayouth, Lilliana,402,37.6,62.4
Miami,FL,Dowell, J. Daniel,200,38.5,61.5
Miami,FL,Alexander, Scott G.,174,41.4,58.6
Miami,FL,Mander, Stephen E.,240,45.8,54.2
Miami,FL,Rodriguez de Jongh, Lourdes A.,141,48.9,51.1
Miami,FL,Solow, Bruce W.,112,49.1,50.9
Miami,FL,Hurewitz, Kenneth S.,135,2.2,97.8
Miami,FL,Opaciuch, John,317,2.5,97.5
Miami,FL,Ford, Rex J.,503,3.2,96.8
Miami,FL,Opaciuch, Adam,419,6.7,93.3
Miami,FL,Alexander, Scott G.,159,8.2,91.8
Miami,FL,Slavin, Denise N.,147,9.5,90.5
New Orleans,LA,Larocca, Joseph,107,28,72
New Orleans,LA,Stogner, William Wayne,197,44.2,55.8
New York,NY,Vomacka, Alan A.,907,41,59
New York,NY,Hom, Sandy K.,1094,42.4,57.6
New York,NY,Nelson, Barbara A.,1147,47.1,52.9
New York,NY,Videla, Gabriel C.,292,52.1,47.9
New York,NY,Christensen, Jesse B.,1511,66.3,33.7
New York,NY,Poczter, Aviva L.,1500,66.7,33.3
New York,NY,Cheng, Mary M.,926,69.3,30.7
New York,NY,Balasquide, Javier E.,1333,77.3,22.7
New York,NY,Wright, Virna A.,954,77.7,22.3
New York,NY,Loprest," F. James, Jr.",1287,79,21
New York,NY,Van Wyke, William Van,987,81.1,18.9
New York,NY,Segal, Alice,1187,82.9,17.1
New York,NY,Zagzoug, Randa,1152,83,17
New York,NY,Rohan, Patricia A.,1553,83.9,16.1
New York,NY,Elstein, Annette S.,243,84.4,15.6
